Category,price,Dish name
English dishes,"20,000.00",COMBO 7
English dishes,"6,000.00",COMBO 6
English dishes,"6,000.00",COMBO 5
English dishes,"15,000.00",COMBO 4
English dishes,"13,000.00",COMBO 3
English dishes,"8,000.00",COMBO 2
English dishes,"6,000.00",COMBO 1
English dishes,"8,000.00",Chicken salad
English dishes,"8,000.00",CEO Salad
English dishes,"1,000.00",Sausages
English dishes,"4,000.00",PLAIN JOLLOF RICE
English dishes,"2,500.00",OMLETTE
English dishes,800,EXTRA BEEF
English dishes,"2,500.00",INDOMIE ONLY
English dishes,"4,000.00",PLAIN WHITE RICE
English dishes,"4,000.00",GOLDEN YAM
English dishes,"5,500.00",FRIED RICE ONLY
English dishes,"2,000.00",SCRAMMBLED EGGS
English dishes,"5,000.00","INDOMIE, EGG AND SAUSAUGE"
English dishes,800,BOILED EGG (1PIECE)
English dishes,"4,000.00",Porridge Beans &  sweet  patatoes
English dishes,"3,000.00",FRIED PLANTAIN (6 PIECES)
English dishes,"5,000.00",CHICKEN PARTS
English dishes,"2,000.00",BOILED SWEET POTATOES
English dishes,"4,000.00",JOLLOF RICE AND BEANS
English dishes,"9,500.00",FRIED RICE AND CHICKEN
English dishes,"3,500.00",PLAIN WHITE RICE AND BEANS
English dishes,"4,000.00",Rice and Beans (Garaugarau)
English dishes,"3,000.00",Fried Yam/ Boiled Yam
English dishes,"2,000.00",Fried Egg (2 Pcs)
English dishes,"2,000.00",Moi Moi (1 Pcs)
English dishes,"5,000.00",Spaghetti Jollof
English dishes,"5,000.00",Yam & Egg
English dishes,"4,000.00",Indomie & Egg
English dishes,"6,000.00",Irish Potato Porridge
English dishes,"7,000.00",L & N Special
Grill (Gashi/ Protein),"6,500.00",GRILLED CROAKER FISH
Grill (Gashi/ Protein),"20,000.00",Grilled CAT FISH big
Grill (Gashi/ Protein),"18,000.00",GRILLED CAT FISH small
Grill (Gashi/ Protein),"7,000.00",FRIED INTESTINE AND RAM
Grill (Gashi/ Protein),"4,000.00",FRIED LOCAL CHICKEN
Grill (Gashi/ Protein),"5,500.00",Fried Ice Fish
Grill (Gashi/ Protein),"3,000.00",L & N Peppered Beef
Grill (Gashi/ Protein),"5,000.00",Beef Stew
Grill (Gashi/ Protein),"9,000.00",Roasted Fish and Plantain
Grill (Gashi/ Protein),"5,000.00",Grilled Tilapia Fish
Grill (Gashi/ Protein),"8,500.00",Gas Chicken
Grill (Gashi/ Protein),"6,000.00",Gas Meat
Grill (Gashi/ Protein),"8,500.00",Grilled Chicken
Grill (Gashi/ Protein),"8,000.00",Balangu (Ram Meat)
Side dishes,"5,500.00",FISH PART
Side dishes,"2,500.00",Egg Sauce
Side dishes,"3,500.00",Fried Chips
Side dishes,"3,000.00",Boiled Yam (4 Pcs)
